stock_code,name,industry,board
000002,万科A,综合,主板
000004,*ST国华,综合,主板
000006,深振业A,综合,主板
000007,全新好,综合,主板
000008,神州高铁,综合,主板
000009,中国宝安,综合,主板
000010,美丽生态,综合,主板
000011,深物业A,综合,主板
000012,南玻A,综合,主板
000014,沙河股份,综合,主板
000016,深康佳A,综合,主板
000017,深中华A,综合,主板
000026,飞亚达,综合,主板
000028,国药一致,综合,主板
000029,深深房A,综合,主板
000031,大悦城,综合,主板
000032,深桑达A,综合,主板
000037,深南电A,综合,主板
000039,中集集团,综合,主板
000042,中洲控股,综合,主板
000045,深纺织A,综合,主板
000048,京基智农,综合,主板
000050,深天马A,综合,主板
000055,方大集团,综合,主板
000056,皇庭国际,综合,主板
000058,深赛格,综合,主板
000059,华锦股份,综合,主板
000060,中金岭南,综合,主板
000062,深圳华强,综合,主板
000066,中国长城,综合,主板
000068,华控赛格,综合,主板
000069,华侨城A,综合,主板
000070,特发信息,综合,主板
000078,海王生物,综合,主板
000089,深圳机场,综合,主板
000090,天健集团,综合,主板
000096,广聚能源,综合,主板
000100,TCL科技,综合,主板
000151,中成股份,综合,主板
000155,川能动力,综合,主板
000156,华数传媒,综合,主板
000158,常山北明,综合,主板
000159,国际实业,综合,主板
000166,申万宏源,综合,主板
000301,东方盛虹,综合,主板
000401,金隅冀东,综合,主板
000402,金融街,综合,主板
000408,藏格矿业,综合,主板
000409,云鼎科技,综合,主板
000410,沈阳机床,综合,主板
000415,渤海租赁,综合,主板
000421,南京公用,综合,主板
000428,华天酒店,综合,主板
000430,ST张家界,综合,主板
000488,ST晨鸣,综合,主板
000503,国新健康,综合,主板
000504,*ST生物,综合,主板
000505,京粮控股,综合,主板
000506,招金黄金,综合,主板
000509,华塑控股,综合,主板
000510,新金路,综合,主板
000514,渝开发,综合,主板
000516,国际医学,综合,主板
000517,荣安地产,综合,主板
000518,*ST四环,综合,主板
000519,中兵红箭,综合,主板
000520,凤凰航运,综合,主板
000523,红棉股份,综合,主板
000524,岭南控股,综合,主板
000525,红太阳,综合,主板
000526,学大教育,综合,主板
000528,柳工,综合,主板
000531,穗恒运A,综合,主板
000532,华金资本,综合,主板
000536,华映科技,综合,主板
000537,绿发电力,综合,主板
000539,粤电力A,综合,主板
000541,佛山照明,综合,主板
000543,皖能电力,综合,主板
000545,金浦钛业,综合,主板
000546,金圆股份,综合,主板
000547,航天发展,综合,主板
000552,甘肃能化,综合,主板
000553,安道麦A,综合,主板
000554,泰山石油,综合,主板
000555,神州信息,综合,主板
000557,西部创业,综合,主板
000558,天府文旅,综合,主板
000560,我爱我家,综合,主板
000561,烽火电子,综合,主板
000564,供销大集,综合,主板
000565,渝三峡A,综合,主板
000566,海南海药,综合,主板
000567,海德股份,综合,主板
000570,苏常柴A,综合,主板
000571,新大洲A,综合,主板
000572,海马汽车,综合,主板
000573,粤宏远A,综合,主板
000576,甘化科工,综合,主板
000586,汇源通信,综合,主板
000590,古汉医药,综合,主板
000592,平潭发展,综合,主板
000593,德龙汇能,综合,主板
000595,*ST宝实,综合,主板
000599,青岛双星,综合,主板
000600,建投能源,综合,主板
000603,盛达资源,综合,主板
000607,华媒控股,综合,主板
000608,*ST阳光,综合,主板
000609,ST中迪,综合,主板
000610,西安旅游,综合,主板
000612,焦作万方,综合,主板
000615,*ST美谷,综合,主板
000619,海螺新材,综合,主板
000620,盈新发展,综合,主板
000623,吉林敖东,综合,主板
000625,长安汽车,综合,主板
000626,远大控股,综合,主板
000628,高新发展,综合,主板
000629,钒钛股份,综合,主板
000632,三木集团,综合,主板
000635,英力特,综合,主板
000636,风华高科,综合,主板
000637,茂化实华,综合,主板
000638,*ST万方,综合,主板
000639,西王食品,综合,主板
000652,泰达股份,综合,主板
000655,金岭矿业,综合,主板
000656,*ST金科,综合,主板
000659,珠海中富,综合,主板
000661,长春高新,综合,主板
000663,永安林业,综合,主板
000665,湖北广电,综合,主板
000668,*ST荣控,综合,主板
000669,ST金鸿,综合,主板
000670,盈方微,综合,主板
000677,恒天海龙,综合,主板
000678,襄阳轴承,综合,主板
