company_code,source_type,publish_date,title,content,processed
002082,announcement,2026-03-07,[002082] 万邦德 业绩预告,"预计2026年1-3月扣除非经常性损益后的净利润盈利:16,400万元,同比上年增长:2174.55%。",True
688781,announcement,2026-03-06,[688781] 视涯科技 业绩预告,"预计2026年1-3月归属于上市公司股东的净利润亏损:5,500万元至6,500万元,同比上年增长:12.27%至25.77%。",True
688802,announcement,2026-03-05,[688802] 沐曦股份 业绩预告,"预计2026年1-3月营业收入:40,000万元至60,000万元,同比上年增长:24.84%至87.26%,同比上年增长7,958.47万元至27,958.47万元。",True
301682,announcement,2026-03-05,[301682] 宏明电子 业绩预告,"预计2026年1-3月归属于上市公司股东的净利润盈利:13,954万元至14,386万元,同比上年增长:0.95%至4.07%。",True
688578,announcement,2026-03-04,[688578] 艾力斯 业绩预告,"预计2026年1-3月扣除非经常性损益后的净利润盈利:57,000万元,同比上年增长:44%,同比上年增长17,416万元。",True
301680,announcement,2026-03-03,[301680] 固德电材 业绩预告,"预计2025年1-12月营业收入:108,998.12万元,同比上年增长:20.05%。",True
688613,announcement,2026-02-28,[688613] 奥精医疗 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损约:91.5万元,同比上年增长2,745.61万元左右。",True
688378,announcement,2026-02-28,[688378] 奥来德 业绩预告,"预计2026年1-3月归属于上市公司股东的净利润盈利:7,000万元至8,500万元,同比上年增长:175.2%至234.17%,同比上年增长4,456.4万元至5,956.4万元。",True
301008,announcement,2026-02-28,[301008] 宏昌科技 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润盈利:1,396.43万元至1,896.43万元,同比上年下降:51%至64%。",True
920781,announcement,2026-02-27,[920781] 瑞奇智造 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:4,662.29万元,同比上年下降:302.96%。",True
688235,announcement,2026-02-27,[688235] 百济神州 业绩预告,"预计2026年1-12月营业收入:4,360,000万元至4,500,000万元。",True
688041,announcement,2026-02-26,[688041] 海光信息 业绩预告,"预计2026年1-3月扣除非经常性损益后的净利润盈利:52,000万元至60,000万元,同比上年增长:17.6%至35.7%,同比上年增长7,783.89万元至15,783.89万元。",True
605068,announcement,2026-02-25,[605068] 明新旭腾 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:1,200万元至1,800万元。",True
301281,announcement,2026-02-24,[301281] 科源制药 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:1,208.97万元至1,813.45万元,同比上年下降:70%至80%。",True
601689,announcement,2026-02-12,[601689] 拓普集团 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:260,000万元至290,000万元,同比上年下降:3.35%至13.35%,同比上年降低10,100万元至40,100万元。",True
603638,announcement,2026-02-11,[603638] 艾迪精密 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:37,900万元至39,500万元,同比上年增长:10.13%至14.78%,同比上年增长3,486.53万元至5,086.53万元。",True
600575,announcement,2026-02-11,[600575] 淮河能源 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润盈利:67,330万元至77,330万元,同比上年下降:1.91%至14.59%,同比上年降低1,505万元至11,505万元。",True
688816,announcement,2026-02-10,[688816] 易思维 业绩预告,"预计2025年1-12月营业收入:43,264.98万元至45,211.91万元,同比上年增长:10.25%至15.21%。",True
300124,announcement,2026-02-10,[300124] 汇川技术 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:497,117.22万元至539,972.16万元,同比上年增长:16%至26%。",True
688818,announcement,2026-02-09,[688818] 电科蓝天 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润盈利:28,150万元至31,030万元,同比上年变动:-2.8%至7.14%。",True
000564,announcement,2026-02-07,[000564] 供销大集 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:130,000万元至190,000万元。",True
603284,announcement,2026-02-05,[603284] 林平发展 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:18,000万元至20,000万元,同比上年增长:17.76%至30.84%。",True
688712,announcement,2026-02-04,[688712] 北芯生命 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:7,800万元至8,800万元,同比上年增长:278.91%至301.85%。",True
001220,announcement,2026-02-02,[001220] 世盟股份 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润盈利:14,327.76万元,同比上年下降:15.2%。",True
900945,announcement,2026-01-31,[900945] 海控B股 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:180,000万元至220,000万元,同比上年增长272,100万元至312,100万元。",True
688750,announcement,2026-01-31,[688750] 金天钛业 业绩预告,"预计2025年1-12月净利润盈利:5,400万元至6,200万元,同比上年下降:59.13%至64.41%,同比上年降低8,971.46万元至9,771.46万元。",True
688719,announcement,2026-01-31,[688719] 爱科赛博 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:4,850万元至6,850万元,同比上年下降:180.64%至213.9%,同比上年降低10,864.02万元至12,864.02万元。",True
688716,announcement,2026-01-31,[688716] 中研股份 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利约:1,180万元,同比上年下降:69.96%左右,同比上年降低2,748.34万元左右。",True
688711,announcement,2026-01-31,[688711] 宏微科技 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:1,400万元至2,100万元,同比上年增长:196.77%至245.15%,同比上年增长2,846.73万元至3,546.73万元。",True
688710,announcement,2026-01-31,[688710] 益诺思 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:4,582.2万元至6,873.29万元,同比上年下降:136.54%至154.82%,同比上年降低17,120.81万元至19,411.9万元。",True
688699,announcement,2026-01-31,[688699] 明微电子 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:6,200万元至7,200万元。",True
688693,announcement,2026-01-31,[688693] 锴威特 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:6,800万元至9,600万元。",True
688687,announcement,2026-01-31,[688687] 凯因科技 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:2,600万元至3,800万元,同比上年下降:73.31%至81.74%,同比上年降低10,436.92万元至11,636.92万元。",True
688670,announcement,2026-01-31,[688670] 金迪克 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:16,500万元至18,500万元,同比上年下降:55.33%至74.16%,同比上年降低5,877.65万元至7,877.65万元。",True
688667,announcement,2026-01-31,[688667] 菱电电控 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润盈利:9,636.99万元至12,259.81万元,同比上年增长:1353.78%至1749.44%,同比上年增长8,974.09万元至11,596.92万元。",True
688658,announcement,2026-01-31,[688658] 悦康药业 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:23,500万元至28,000万元。",True
688655,announcement,2026-01-31,[688655] 迅捷兴 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:1,800万元至2,600万元。",True
688638,announcement,2026-01-31,[688638] 誉辰智能 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:14,050万元至17,050万元。",True
688622,announcement,2026-01-31,[688622] 禾信仪器 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损约:9,300万元,同比上年下降:47.39%左右,同比上年降低2,990.04万元左右。",True
688611,announcement,2026-01-31,[688611] 杭州柯林 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:306万元至459万元,同比上年下降:104.19%至106.28%,同比上年降低7,609.86万元至7,762.86万元。",True
688601,announcement,2026-01-31,[688601] 力芯微 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润盈利:1,500万元至1,800万元,同比上年下降:82.85%至85.71%,同比上年降低8,697万元至8,997万元。",True
688596,announcement,2026-01-31,[688596] 正帆科技 业绩预告,"预计2025年1-12月营业收入:480,000万元至510,000万元,同比上年下降:7%至12%。",True
688595,announcement,2026-01-31,[688595] 芯海科技 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损约:11,600万元,同比上年增长6,600万元左右。",True
688589,announcement,2026-01-31,[688589] 力合微 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:1,700万元至2,200万元,同比上年下降:73.91%至79.84%,同比上年降低6,233.67万元至6,733.67万元。",True
688586,announcement,2026-01-31,[688586] 江航装备 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润盈利:3,700万元至5,200万元,同比上年下降:50.01%至64.43%,同比上年降低5,203万元至6,703万元。",True
688585,announcement,2026-01-31,[688585] 上纬新材 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:4,068.14万元至5,568.14万元,同比上年下降:37%至54%,同比上年降低3,300万元至4,800万元。",True
688575,announcement,2026-01-31,[688575] 亚辉龙 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润盈利:6,500万元至8,500万元,同比上年下降:70.42%至77.38%,同比上年降低20,233.33万元至22,233.33万元。",True
688573,announcement,2026-01-31,[688573] 信宇人 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:41,000万元至49,000万元。",True
688570,announcement,2026-01-31,[688570] 天玛智控 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:8,400万元至11,340万元,同比上年下降:66.61%至75.26%,同比上年降低22,617.51万元至25,557.51万元。",True
688567,announcement,2026-01-31,[688567] 孚能科技 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:61,180万元至86,180万元。",True
688565,announcement,2026-01-31,[688565] 力源科技 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:2,080万元至2,450万元,同比上年增长:11.35%至24.74%,同比上年增长313.66万元至683.66万元。",True
688561,announcement,2026-01-31,[688561] 奇安信 业绩预告,"预计2025年1-12月营业收入约:439,100万元。",True
688549,announcement,2026-01-31,[688549] 中巨芯 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:1,400万元至2,000万元。",True
688522,announcement,2026-01-31,[688522] 纳睿雷达 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利约:11,812.16万元,同比上年增长:54.16%左右,同比上年增长4,149.82万元左右。",True
688520,announcement,2026-01-31,[688520] 神州细胞 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:50,300万元至56,300万元。",True
688512,announcement,2026-01-31,[688512] 慧智微 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:16,800万元至23,500万元。",True
688506,announcement,2026-01-31,[688506] 百利天恒 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损约:120,000万元,同比上年下降:133.01%左右,同比上年降低483,553.75万元左右。",True
688505,announcement,2026-01-31,[688505] 复旦张江 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:14,000万元至20,000万元。",True
688499,announcement,2026-01-31,[688499] 利元亨 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:4,700万元至5,600万元。",True
688489,announcement,2026-01-31,[688489] 三未信安 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:5,023.31万元至7,497.47万元。",True
688472,announcement,2026-01-31,[688472] 阿特斯 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润盈利:90,000万元至110,000万元,同比上年下降:51%至60%,同比上年降低112,646.82万元至132,646.82万元。",True
688458,announcement,2026-01-31,[688458] 美芯晟 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:1,300万元至1,600万元,同比上年增长:75.94%至80.45%,同比上年增长5,050万元至5,350万元。",True
688418,announcement,2026-01-31,[688418] 震有科技 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:6,250万元至8,550万元。",True
